iter	Passed	Remaining
1103	69160	24807
1104	69217	24742
1105	69271	24677
1106	69324	24611
1107	69385	24547
1108	69453	24487
1109	69521	24426
1110	69580	24362
1111	69638	24298
1112	69701	24235
1113	69762	24172
1114	69816	24106
1115	69870	24041
1116	69925	23976
1117	69984	23912
1118	70039	23847
1119	70095	23782
1120	70150	23717
1121	70209	23653
1122	70268	23589
1123	70330	23527
1124	70397	23465
1125	70456	23401
1126	70512	23337
1127	70576	23275
1128	70638	23212
1129	70692	23147
1130	70747	23082
1131	70801	23016
1132	70857	22952
1133	70914	22887
1134	70979	22826
1135	71045	22764
1136	71101	22699
1137	71158	22635
1138	71220	22573
1139	71280	22509
1140	71338	22445
1141	71396	22381
1142	71461	22320
1143	71523	22257
1144	71582	22193
1145	71633	22127
1146	71695	22064
1147	71759	22002
1148	71817	21938
1149	71871	21873
1150	71936	21812
1151	72001	21750
1152	72057	21685
1153	72112	21621
1154	72169	21557
1155	72226	21493
1156	72283	21428
1157	72340	21364
1158	72398	21301
1159	72456	21237
1160	72515	21173
1161	72581	21112
1162	72645	21050
1163	72701	20985
1164	72757	20921
1165	72819	20858
1166	72876	20794
1167	72931	20730
1168	72989	20666
1169	73047	20603
1170	73103	20538
1171	73156	20473
1172	73210	20409
1173	73270	20346
1174	73326	20281
1175	73387	20219
1176	73446	20155
1177	73501	20091
1178	73557	20027
1179	73623	19965
1180	73687	19903
1181	73759	19843
1182	73826	19782
1183	73891	19721
1184	73955	19658
1185	74011	19595
1186	74065	19530
1187	74121	19466
1188	74175	19401
1189	74229	19337
1190	74286	19273
1191	74343	19209
1192	74400	19145
1193	74459	19082
1194	74518	19019
1195	74577	18956
1196	74634	18892
1197	74688	18828
1198	74743	18763
1199	74800	18700
1200	74854	18635
1201	74909	18571
1202	74964	18507
1203	75019	18443
1204	75073	18379
1205	75128	18314
1206	75184	18251
1207	75251	18189
1208	75315	18128
1209	75379	18066
1210	75438	18003
1211	75493	17939
1212	75551	17875
1213	75610	17812
1214	75666	17749
1215	75726	17686
1216	75792	17624
1217	75857	17562
1218	75933	17504
1219	75996	17441
1220	76054	17378
1221	76109	17314
1222	76164	17250
1223	76220	17187
1224	76276	17123
1225	76332	17059
1226	76387	16995
1227	76444	16932
1228	76500	16868
1229	76557	16805
1230	76615	16742
1231	76669	16678
1232	76730	16615
1233	76786	16551
1234	76855	16491
1235	76921	16429
1236	76984	16367
1237	77050	16306
1238	77112	16244
1239	77167	16180
1240	77224	16116
1241	77283	16054
1242	77348	15992
1243	77404	15928
1244	77462	15865
1245	77526	15803
1246	77594	15742
1247	77649	15679
1248	77705	15615
1249	77762	15552
1250	77819	15489
1251	77878	15426
1252	77942	15364
1253	78006	15302
1254	78065	15239
1255	78119	15176
1256	78176	15112
1257	78235	15050
1258	78292	14986
1259	78348	14923
1260	78404	14860
1261	78474	14799
1262	78538	14737
1263	78600	14675
1264	78655	14611
1265	78715	14549
1266	78769	14485
1267	78827	14422
1268	78882	14359
1269	78947	14297
1270	79008	14235
1271	79065	14172
1272	79122	14108
1273	79176	14045
1274	79230	13981
1275	79284	13918
1276	79340	13855
1277	79395	13791
1278	79450	13728
1279	79509	13665
1280	79567	13602
1281	79631	13541
1282	79698	13479
1283	79752	13416
1284	79809	13353
1285	79866	13290
1286	79920	13226
1287	79972	13163
1288	80031	13100
1289	80093	13038
1290	80158	12976
1291	80214	12913
1292	80268	12850
1293	80333	12788
1294	80397	12727
1295	80461	12665
1296	80527	12603
1297	80589	12541
1298	80641	12477
1299	80698	12415
1300	80764	12353
1301	80827	12291
1302	80881	12228
1303	80935	12165
1304	80991	12102
1305	81050	12039
1306	81108	11977
1307	81164	11914
1308	81221	11851
1309	81276	11788
1310	81332	11725
1311	81394	11663
1312	81449	11600
1313	81506	11537
1314	81565	11475
1315	81622	11412
1316	81683	11350
1317	81740	11287
1318	81805	11225
1319	81868	11163
1320	81933	11102
1321	81999	11040
1322	82064	10979
1323	82127	10917
1324	82184	10854
1325	82244	10792
1326	82320	10732
1327	82417	10674
1328	82480	10612
1329	82542	10550
1330	82604	10488
1331	82667	10426
1332	82725	10364
1333	82784	10301
1334	82842	10238
1335	82896	10175
1336	82954	10113
1337	83017	10051
1338	83086	9990
1339	83149	9928
1340	83204	9865
1341	83257	9802
1342	83310	9739
1343	83364	9676
1344	83421	9613
1345	83480	9551
1346	83538	9488
1347	83594	9426
1348	83649	9363
1349	83716	9301
1350	83779	9239
1351	83836	9177
1352	83892	9114
1353	83955	9052
1354	84015	8990
1355	84070	8927
1356	84126	8865
1357	84180	8802
1358	84236	8739
1359	84300	8677
1360	84364	8616
1361	84419	8553
1362	84473	8490
1363	84528	8428
1364	84582	8365
1365	84639	8302
1366	84695	8240
1367	84753	8177
1368	84808	8115
1369	84862	8052
1370	84919	7990
1371	84981	7928
1372	85046	7866
1373	85109	7804
1374	85163	7742
1375	85216	7679
1376	85271	7616
1377	85325	7554
1378	85379	7491
1379	85434	7429
1380	85499	7367
1381	85554	7304
1382	85612	7242
1383	85661	7179
1384	85716	7117
1385	85767	7054
1386	85828	6992
1387	85891	6930
1388	85943	6868
1389	86000	6805
1390	86055	6743
1391	86115	6681
1392	86172	6619
1393	86232	6557
1394	86287	6494
1395	86341	6432
1396	86396	6369
1397	86456	6307
1398	86518	6246
1399	86583	6184
1400	86652	6123
1401	86717	6061
1402	86778	5999
1403	86853	5938
1404	86914	5876
1405	86981	5815
1406	87049	5753
1407	87114	5692
1408	87186	5630
1409	87257	5569
1410	87327	5508
1411	87396	5446
1412	87452	5384
1413	87514	5322
1414	87575	5260
1415	87632	5198
1416	87699	5136
1417	87760	5074
1418	87823	5013
1419	87880	4951
1420	87945	4889
1421	88016	4827
1422	88156	4770
1423	88280	4711
1424	88424	4653
1425	88542	4594
1426	88696	4537
1427	88826	4478
1428	88937	4418
1429	89049	4359
1430	89165	4299
1431	89276	4239
1432	89391	4179
1433	89499	4119
1434	89614	4059
1435	89719	3998
1436	89836	3938
1437	89948	3878
1438	90013	3815
1439	90073	3753
1440	90130	3690
1441	90187	3627
1442	90269	3565
1443	90360	3504
1444	90449	3442
1445	90542	3381
1446	90631	3319
1447	90724	3258
1448	90815	3196
1449	90906	3134
1450	90992	3072
1451	91051	3009
1452	91134	2947
1453	91233	2886
1454	91321	2824
1455	91392	2761
1456	91490	2700
1457	91579	2638
1458	91661	2575
1459	91769	2514
1460	91869	2452
1461	91974	2390
1462	92081	2328
1463	92184	2266
1464	92296	2205
1465	92404	2143
1466	92511	2081
1467	92616	2018
1468	92726	1956
1469	92837	1894
1470	92956	1832
1471	93064	1770
1472	93178	1707
1473	93292	1645
1474	93401	1583
1475	93505	1520
1476	93613	1457
1477	93719	1395
1478	93823	1332
1479	93935	1269
1480	94051	1206
1481	94163	1143
1482	94266	1080
1483	94374	1017
1484	94483	954
1485	94596	891
1486	94705	827
1487	94800	764
1488	94915	701
1489	95032	637
1490	95145	574
1491	95254	510
1492	95362	447
1493	95476	383
1494	95592	319
1495	95705	255
1496	95821	192
1497	95935	128
1498	96048	64
1499	96167	0
